Signal Recording: Id=eda68de99dee4e9299d31c34fee9a5f9 (started 16:02:56 and finished 16:03:15)

Time	J1	J2	J3	J4	J5	J6
0	-44.0822867900724	10.6071548612092	5.57009653466038	195.152684059981	-70.73263308233	-80.3051022229678
0.072	-44.0822833749778	10.6071548612092	5.57009653466038	195.152684059981	-70.73263308233	-80.3051022229678
0.096	-44.0493277122325	10.5952899688473	5.59057899132078	195.153544663817	-70.7225312325475	-80.3004235433864
0.12	-43.871373963597	10.5312142566961	5.70119475870279	195.158230173587	-70.6679580210791	-80.2751245227007
0.144	-43.4329748566252	10.3733600472406	5.97370137733972	195.169759532906	-70.5335194076458	-80.2127922163351
0.168	-42.6920427656513	10.1065737120336	6.43425975241321	195.189239232419	-70.3063131649053	-80.1074570389552
0.192	-41.6580443328652	9.73426266169711	7.07698695661376	195.216437045694	-69.9892352930658	-79.960450877449
0.216	-40.3482872576236	9.26265944384889	7.89112501511177	195.250888519868	-69.5875860189232	-79.7742394301069
0.24	-38.7682254459787	8.69372773787527	8.87328145832386	195.292443390778	-69.1030592293917	-79.5496013384944
0.264	-36.9175651997962	8.02736082207049	10.0236449702259	195.341101658425	-68.5355456414445	-79.2864887912872
0.288	-34.7950361038905	7.26310363508108	11.3429958999304	195.396917964323	-67.8846627644881	-78.9847242035668
0.312	-32.4542756338138	6.42026682923797	12.7979995091933	195.458485289501	-67.166857694044	-78.6519300664471
0.336	-30.0542769330656	5.55610147705103	14.2898246682718	195.52160989781	-66.4308911505968	-78.31072113627
0.36	-27.6542816474119	4.69193612486408	15.7816489735766	195.584720845741	-65.6949177769604	-77.9695122060928
0.384	-25.2542829466636	3.82777034579031	17.2734749864287	195.64784545405	-64.9589512335131	-77.6282964457265
0.408	-22.85428766101	2.96360499360337	18.7652992917335	195.71097006236	-64.2229846900659	-77.2870875155493
0.432	-20.4542889602617	2.09943964141642	20.2571253045856	195.774081010291	-63.4870113164296	-76.9458785853722
0.456	-18.0542919670608	1.23527396906436	21.7489479023431	195.8372056186	-62.7510447729823	-76.6046628250058
0.48	-15.6542949738598	0.371108616877417	23.2407739151952	195.900330226909	-62.0150782295351	-76.2634470646395
0.504	-13.2542971268852	-0.493056842031234	24.7325999280472	195.963427514462	-61.2791048558987	-75.9222449646515
0.528	-10.8542992799106	-1.35722230093989	26.224424233352	196.026552122771	-60.5431383124515	-75.5810292042852
0.552	-8.45430228670965	-2.22138775984854	27.7162502462041	196.08967673108	-59.8071717690043	-75.2398134439189
0.576	-6.05430486662187	-3.08555332547889	29.2080745515089	196.152787679011	-59.0712052255571	-74.8986113439309
0.6	-3.65430744653409	-3.94971867766584	30.699900564361	196.21591228732	-58.3352318519207	-74.5573955835646
0.624	-1.25431023988972	-4.81388402985278	32.1917231621185	196.27903689563	-57.5992584782843	-74.2161798231982
0.648	1.14568718019806	-5.67804980892655	33.683545759876	196.342147843561	-56.8632987650263	-73.8749708930211
0.672	3.54568460028585	-6.54221473422667	35.1753717727281	196.405258791492	-56.1273253913899	-73.5337619628439
0.696	5.94568180693022	-7.40638051330044	36.6671977855802	196.468383399801	-55.3913554328481	-73.1925462024776
0.72	8.345679227018	-8.27054629237421	38.1590237984323	196.531494347732	-54.6553854743063	-72.8513372723004
0.744	10.745676220219	-9.13471121767433	39.6508498112844	196.594618956041	-53.9194223459537	-72.5101283421233
0.768	13.1456740671936	-9.9988769967481	41.1426724090419	196.65774356435	-53.1834489723173	-72.1689125817569
0.792	15.5456710603945	-10.8630419220482	42.634498421894	196.720854512281	-52.4474790137755	-71.8277036515798
0.816	17.9456680535955	-11.727207701122	44.1263244347461	196.78397912059	-51.7115158854229	-71.4864878912135
0.84	20.3456650467964	-12.5913734801958	45.6181504475982	196.8471037289	-50.9755459268811	-71.1452789610363
0.864	22.7445692097302	-13.455144815845	47.1092934415333	196.910173695696	-50.2399106476086	-70.8042271252101
0.888	25.1283427961051	-14.3134682218574	48.5910346800758	196.972874832276	-49.5089164818772	-70.465313138594
0.912	27.3144199720485	-15.1001378208346	49.9490163059523	197.029879591089	-48.8388612639206	-70.1529754180385
0.936	29.3419155233899	-15.7485532919533	51.0581980460274	196.997764041612	-48.2715013552297	-69.5963423214392
0.96	31.457751033909	-16.2326412418306	51.859222141319	196.76266893038	-47.8077280954912	-68.3822557059019
0.984	33.7517656893061	-16.5470348493263	52.3381037795015	196.287465349065	-47.4451201826444	-66.3739273729188
1.008	36.1556610129759	-16.7160769086423	52.5429855489398	195.621617527638	-47.1720150686815	-63.7419822781461
1.032	38.5738826584297	-16.8112965758614	52.6105634405879	194.873465926711	-46.947137920448	-60.8483043343785
1.056	40.9738950195563	-16.903097733401	52.672636199765	194.128128363723	-46.7257544139749	-57.9675286179531
1.08	43.3738971353991	-16.9949057211297	52.7347192042258	193.382777140356	-46.5043640773127	-55.0867904675681
1.104	45.7738924210528	-17.0867137088584	52.7968022086866	192.637453237746	-46.2829771557451	-52.2060591473722
1.128	48.173891121801	-17.1785199890399	52.858888628242	191.892115674757	-46.0615902341775	-49.3253278271764
1.152	50.5738864074547	-17.2703279767686	52.9209716327029	191.146778111769	-45.8402033126099	-46.4445999220751
